O,C,E,A,N,role,business_unit,functional_unit,department,team,supervisor,total_logons,avg_logon_hour,after_hours_logons,weekend_logons,active_months,after_hours_ratio,weekend_ratio
30,43,36,39,34,9,1,4,16,67,130,80,11.0,40,0,2,0.5,0.0
43,18,46,23,33,28,1,5,12,15,33,119,12.025210084033613,40,0,2,0.33613445378151263,0.0
46,39,37,41,33,31,1,9,11,5,225,117,12.307692307692308,0,0,2,0.0,0.0
35,21,10,17,25,1,1,2,18,3,201,124,11.830645161290322,13,33,2,0.10483870967741936,0.2661290322580645
36,41,24,36,25,32,1,4,10,51,149,80,11.5,40,0,2,0.5,0.0
42,43,40,16,25,9,1,3,18,38,118,139,12.028776978417266,18,0,2,0.12949640287769784,0.0
17,19,12,37,26,38,1,6,12,7,23,80,12.5,0,0,2,0.0,0.0
39,19,11,11,27,1,1,1,5,3,28,80,12.05,15,0,2,0.1875,0.0
38,24,22,40,33,29,1,2,4,3,160,164,11.384146341463415,54,36,2,0.32926829268292684,0.21951219512195122
41,50,43,40,26,28,1,5,12,8,17,80,13.5,40,0,2,0.5,0.0
40,35,30,27,30,39,1,5,12,7,148,117,13.811965811965813,42,0,2,0.358974358974359,0.0
33,47,37,41,32,38,1,5,12,48,55,152,11.697368421052632,50,4,2,0.32894736842105265,0.02631578947368421
45,22,35,23,23,33,1,0,21,57,189,120,12.041666666666666,15,0,2,0.125,0.0
19,16,20,32,27,32,1,4,10,44,128,80,11.5,0,0,2,0.0,0.0
30,44,44,25,30,42,1,8,14,33,35,80,11.625,16,0,2,0.2,0.0
26,21,35,34,33,9,1,2,18,83,52,80,11.5375,17,0,2,0.2125,0.0
16,18,30,34,26,23,1,3,18,37,54,80,12.05,18,0,2,0.225,0.0
42,19,47,29,29,28,1,6,12,8,106,80,12.025,40,0,2,0.5,0.0
43,38,26,20,28,21,1,4,18,86,200,110,12.9,0,0,2,0.0,0.0
16,22,14,37,37,1,1,0,21,3,173,140,13.235714285714286,48,24,2,0.34285714285714286,0.17142857142857143
10,37,27,35,33,38,1,5,12,87,175,138,12.152173913043478,0,15,2,0.0,0.10869565217391304
37,41,49,16,29,31,1,8,11,71,181,80,12.075,40,0,2,0.5,0.0
20,47,16,49,25,22,1,2,10,59,241,80,10.5,40,0,2,0.5,0.0
20,23,36,35,32,45,1,2,16,56,65,129,12.37984496124031,15,0,2,0.11627906976744186,0.0
29,41,30,50,37,42,1,8,14,61,115,80,13.525,22,0,2,0.275,0.0
14,38,37,12,22,40,1,4,18,10,243,80,13.0875,0,0,2,0.0,0.0
14,20,30,24,20,23,1,3,18,31,85,80,12.0,19,0,2,0.2375,0.0
39,36,34,30,31,38,1,6,12,87,197,80,12.625,15,0,2,0.1875,0.0
38,44,22,19,20,23,1,4,18,31,221,80,13.5,40,0,2,0.5,0.0
41,23,38,19,34,20,1,7,0,3,27,80,13.5,40,0,2,0.5,0.0
38,21,18,20,34,16,1,0,21,29,39,322,12.201863354037267,192,0,2,0.5962732919254659,0.0
20,39,18,30,33,32,1,3,10,30,97,111,12.45945945945946,20,0,2,0.18018018018018017,0.0
42,38,20,44,30,31,1,8,11,47,83,80,12.0,40,0,2,0.5,0.0
19,39,30,44,24,26,1,4,10,1,116,80,11.975,40,0,2,0.5,0.0
19,30,22,44,35,31,1,8,11,55,96,116,12.637931034482758,0,0,2,0.0,0.0
25,14,22,42,36,42,1,8,14,70,170,80,12.525,17,0,2,0.2125,0.0
39,43,17,19,32,42,1,9,14,4,205,110,11.554545454545455,40,0,2,0.36363636363636365,0.0
25,47,43,23,34,4,1,2,18,35,219,119,11.361344537815127,26,0,2,0.2184873949579832,0.0
40,40,39,19,36,28,1,5,12,65,239,80,11.0,40,0,2,0.5,0.0
44,18,39,20,24,9,1,3,16,43,111,112,12.339285714285714,40,0,2,0.35714285714285715,0.0
33,46,39,36,32,9,1,3,16,67,196,139,12.39568345323741,16,0,2,0.11510791366906475,0.0
37,45,42,38,41,40,1,2,18,64,67,117,12.717948717948717,43,0,2,0.36752136752136755,0.0
11,18,19,21,23,45,1,2,16,56,65,80,12.5625,17,0,2,0.2125,0.0
32,43,18,46,28,33,1,0,21,73,13,110,11.554545454545455,40,0,2,0.36363636363636365,0.0
10,39,30,22,32,42,1,9,14,70,218,80,13.0,0,0,2,0.0,0.0
44,41,22,16,24,42,1,2,18,36,182,80,12.9875,43,0,2,0.5375,0.0
42,33,21,42,27,28,1,5,12,27,16,80,12.0,0,0,2,0.0,0.0
16,17,23,15,36,31,1,8,11,71,181,80,12.0125,40,0,2,0.5,0.0
30,30,16,15,24,33,1,0,21,41,162,80,13.0,0,0,2,0.0,0.0
38,16,31,17,26,23,1,3,18,17,134,111,11.027027027027026,65,16,2,0.5855855855855856,0.14414414414414414
38,15,18,14,32,31,1,9,11,5,225,80,12.0125,0,0,2,0.0,0.0
43,41,10,10,28,9,1,3,18,42,229,125,11.752,28,5,2,0.224,0.04
36,44,17,19,31,5,1,3,16,82,68,80,11.5,40,0,2,0.5,0.0
39,42,41,49,23,4,1,2,18,64,219,92,13.25,40,0,2,0.43478260869565216,0.0
38,41,23,34,31,43,1,4,18,14,155,80,11.525,40,0,2,0.5,0.0
18,20,41,10,26,43,1,2,18,14,62,111,12.207207207207206,0,0,2,0.0,0.0
41,39,39,39,32,22,1,4,10,68,129,91,13.054945054945055,89,9,2,0.978021978021978,0.0989010989010989
11,36,14,23,25,16,1,0,21,9,135,314,12.78343949044586,204,0,2,0.6496815286624203,0.0
16,36,27,21,32,23,1,3,18,75,3,80,12.075,15,0,2,0.1875,0.0
41,40,36,25,19,39,1,5,12,81,148,80,12.0125,40,0,2,0.5,0.0
46,28,21,43,28,43,1,3,18,23,72,80,12.0,40,0,2,0.5,0.0
38,50,20,21,24,38,1,5,12,48,55,80,11.5125,40,0,2,0.5,0.0
18,24,19,26,26,23,1,5,7,3,169,80,11.0,40,0,2,0.5,0.0
37,39,10,34,38,36,1,3,16,6,10,100,11.76,36,0,2,0.36,0.0
42,17,37,28,17,20,1,3,18,3,237,80,12.0125,16,0,2,0.2,0.0
35,12,44,20,21,22,1,3,10,59,22,119,10.747899159663865,42,0,2,0.35294117647058826,0.0
43,47,13,41,31,28,1,6,12,15,151,104,12.14423076923077,0,0,2,0.0,0.0
45,41,22,40,31,32,1,4,10,30,126,80,11.5875,16,0,2,0.2,0.0
33,36,20,43,30,43,1,3,18,36,64,110,12.081818181818182,17,0,2,0.15454545454545454,0.0
36,45,21,41,33,40,1,3,18,10,236,110,12.136363636363637,18,0,2,0.16363636363636364,0.0
39,25,37,25,32,36,1,2,16,6,224,112,11.1875,40,0,2,0.35714285714285715,0.0
15,21,31,19,32,13,1,2,18,39,99,80,11.5,40,0,2,0.5,0.0
17,30,17,19,26,31,1,9,11,5,225,80,12.0375,0,0,2,0.0,0.0
47,41,29,22,35,35,1,4,16,28,8,80,11.5,40,0,2,0.5,0.0
45,46,32,18,37,41,1,3,18,3,41,80,12.075,18,0,2,0.225,0.0
28,13,13,46,27,28,1,5,12,27,16,80,12.0,0,0,2,0.0,0.0
38,24,18,18,31,42,1,8,14,61,115,150,13.253333333333334,25,32,2,0.16666666666666666,0.21333333333333335
21,35,14,41,24,28,1,5,12,27,16,114,12.087719298245615,0,0,2,0.0,0.0
30,38,39,25,35,1,1,0,18,3,206,80,13.0875,39,0,2,0.4875,0.0
42,18,33,35,29,43,1,3,18,72,57,133,11.112781954887218,48,22,2,0.3609022556390977,0.16541353383458646
42,39,24,40,36,13,1,4,18,22,132,113,11.584070796460177,40,0,2,0.35398230088495575,0.0
38,40,26,27,30,40,1,3,18,22,184,80,12.525,42,0,2,0.525,0.0
44,43,46,19,37,32,1,4,10,51,149,122,11.434426229508198,48,0,2,0.39344262295081966,0.0
42,40,15,18,29,40,1,3,18,10,236,120,12.108333333333333,27,0,2,0.225,0.0
43,41,34,37,36,38,1,6,12,48,30,80,12.5,0,0,2,0.0,0.0
23,37,38,11,20,42,1,8,14,46,73,80,11.05,18,0,2,0.225,0.0
45,44,12,20,32,23,1,4,18,24,215,80,12.0,0,0,2,0.0,0.0
45,41,20,21,27,28,1,6,12,8,106,86,11.523255813953488,46,0,2,0.5348837209302325,0.0
36,11,43,14,25,28,1,6,12,65,69,160,11.5625,23,22,2,0.14375,0.1375
37,48,46,35,30,21,1,4,18,52,122,111,13.45945945945946,27,0,2,0.24324324324324326,0.0
43,23,16,21,30,16,1,0,21,50,211,320,12.15625,180,0,2,0.5625,0.0
50,46,40,24,34,42,1,9,14,61,95,169,12.76923076923077,0,46,2,0.0,0.27218934911242604
36,43,21,37,30,38,1,5,12,79,202,80,12.6375,18,0,2,0.225,0.0
34,40,42,14,21,4,1,4,18,37,110,80,10.0,40,0,2,0.5,0.0
47,41,20,42,34,9,1,2,18,10,46,80,12.5,40,0,2,0.5,0.0
19,22,22,42,23,38,1,5,12,79,202,80,12.525,18,0,2,0.225,0.0
24,21,46,32,39,6,1,3,18,35,21,80,12.0375,18,0,2,0.225,0.0
24,20,22,21,31,28,1,5,12,20,121,80,12.0375,19,0,2,0.2375,0.0
31,33,39,43,33,31,1,9,11,62,47,133,12.157894736842104,0,0,2,0.0,0.0
36,19,13,14,23,23,1,3,18,31,85,80,12.0125,20,0,2,0.25,0.0
40,32,24,38,30,38,1,6,12,13,40,80,13.025,38,0,2,0.475,0.0
36,22,40,19,28,38,1,6,12,87,197,108,12.481481481481481,18,0,2,0.16666666666666666,0.0
23,49,40,34,19,23,1,3,18,23,72,80,12.0,40,0,2,0.5,0.0
30,46,19,14,32,42,1,8,14,46,73,116,11.293103448275861,17,0,2,0.14655172413793102,0.0
38,21,39,14,18,42,1,8,14,54,161,80,12.0,20,0,2,0.25,0.0
40,38,23,40,21,31,1,9,11,62,47,158,12.784810126582279,0,17,2,0.0,0.10759493670886076
30,34,25,15,26,9,1,4,18,42,103,42,13.0,0,0,2,0.0,0.0
18,18,27,22,24,9,1,2,18,18,51,80,13.0,0,0,2,0.0,0.0
39,37,40,34,34,28,1,6,12,27,154,137,12.547445255474452,0,0,2,0.0,0.0
43,10,37,30,26,20,1,8,11,5,156,80,12.0375,14,0,2,0.175,0.0
38,31,36,35,28,23,1,4,18,17,82,116,11.96551724137931,20,0,2,0.1724137931034483,0.0
20,42,34,23,29,20,1,8,11,34,156,80,11.0125,40,0,2,0.5,0.0
37,41,36,13,39,38,1,5,12,48,55,80,11.5125,40,0,2,0.5,0.0
46,41,43,30,35,45,1,4,16,88,7,80,13.0,0,0,2,0.0,0.0
38,15,13,46,31,42,1,8,14,54,161,128,12.171875,20,11,2,0.15625,0.0859375
39,21,47,40,31,42,1,9,14,70,218,80,13.0,0,0,2,0.0,0.0
46,46,39,13,31,9,1,2,18,42,76,108,13.314814814814815,40,0,2,0.37037037037037035,0.0
18,18,44,14,29,25,1,0,20,76,133,141,12.77304964539007,48,32,2,0.3404255319148936,0.22695035460992907
16,43,17,44,31,4,1,4,18,83,110,80,13.0,0,0,2,0.0,0.0
40,47,41,36,33,28,1,6,12,15,151,80,12.0,0,0,2,0.0,0.0
30,30,22,41,26,7,1,8,14,3,37,137,11.89051094890511,42,0,2,0.30656934306569344,0.0
32,22,20,37,28,28,1,6,12,8,106,84,11.928571428571429,40,0,2,0.47619047619047616,0.0
41,25,19,30,27,33,1,0,21,57,189,96,12.0625,21,16,2,0.21875,0.16666666666666666
40,30,37,42,26,38,1,5,12,13,178,80,11.0125,40,0,2,0.5,0.0
39,10,38,35,18,31,1,8,11,71,181,80,12.0625,40,0,2,0.5,0.0
28,12,40,13,38,1,1,2,18,3,219,112,14.392857142857142,40,0,2,0.35714285714285715,0.0
45,25,47,19,32,31,1,8,11,62,168,142,12.471830985915492,18,0,2,0.1267605633802817,0.0
43,39,21,11,28,42,1,9,14,54,194,80,12.0,0,0,2,0.0,0.0
38,31,27,20,20,38,1,5,12,87,175,80,12.0,0,0,2,0.0,0.0
42,22,50,21,20,42,1,8,14,4,114,80,11.5,40,0,2,0.5,0.0
23,36,21,25,32,38,1,5,12,79,202,80,12.5375,19,0,2,0.2375,0.0
35,33,22,20,36,36,1,3,16,6,10,80,12.05,18,0,2,0.225,0.0
46,42,34,44,22,42,1,9,14,54,194,127,12.283464566929133,11,1,2,0.08661417322834646,0.007874015748031496
12,12,10,25,31,26,1,2,10,51,222,80,11.5,40,0,2,0.5,0.0
41,39,29,21,27,31,1,8,11,62,168,80,12.575,18,0,2,0.225,0.0
41,41,39,44,30,21,1,3,18,21,233,98,12.979591836734693,0,0,2,0.0,0.0
41,35,18,50,38,9,1,4,18,42,103,80,13.0,0,0,2,0.0,0.0
36,20,43,15,28,42,1,9,14,70,218,80,13.0,0,0,2,0.0,0.0
48,48,39,23,22,22,1,2,10,51,222,80,11.5,40,0,2,0.5,0.0
23,34,48,20,33,31,1,8,11,55,96,80,12.525,0,0,2,0.0,0.0
35,15,17,25,32,40,1,4,18,39,164,112,12.25,40,0,2,0.35714285714285715,0.0
39,21,50,22,27,31,1,9,11,47,1,80,12.0,40,0,2,0.5,0.0
36,46,43,21,18,10,1,6,19,3,216,80,11.5,40,0,2,0.5,0.0
41,17,18,38,30,26,1,3,10,1,48,80,12.5625,17,0,2,0.2125,0.0
39,30,45,36,34,38,1,6,12,79,31,139,11.345323741007194,47,4,2,0.3381294964028777,0.02877697841726619
36,32,34,17,38,1,1,8,14,3,199,80,12.0,40,0,2,0.5,0.0
40,15,39,27,20,28,1,5,12,8,17,110,13.181818181818182,40,0,2,0.36363636363636365,0.0
47,38,35,20,27,40,1,3,18,10,236,165,12.078787878787878,26,34,2,0.15757575757575756,0.20606060606060606
17,38,18,25,33,28,1,5,12,81,127,80,12.0125,40,0,2,0.5,0.0
37,11,42,14,23,16,1,0,21,50,211,304,13.625,178,0,2,0.5855263157894737,0.0
23,37,44,10,41,22,1,2,10,1,19,138,13.717391304347826,0,0,2,0.0,0.0
37,25,33,19,28,22,1,2,10,51,222,80,11.5,40,0,2,0.5,0.0
23,19,47,23,20,34,1,2,16,56,65,80,12.525,20,0,2,0.25,0.0
39,17,37,24,37,28,1,5,12,49,145,121,11.082644628099173,47,0,2,0.3884297520661157,0.0
26,37,33,46,39,5,1,2,16,82,136,108,11.037037037037036,40,0,2,0.37037037037037035,0.0
43,13,30,24,33,21,1,2,18,52,180,80,11.0,40,0,2,0.5,0.0
39,38,28,21,19,6,1,4,18,39,164,84,12.738095238095237,40,0,2,0.47619047619047616,0.0
23,45,34,19,30,41,1,4,18,3,77,80,11.575,19,0,2,0.2375,0.0
10,19,28,37,30,22,1,2,10,51,222,80,11.5,40,0,2,0.5,0.0
16,38,50,17,24,40,1,2,18,22,191,80,11.5,40,0,2,0.5,0.0
45,44,47,23,33,45,1,3,16,80,74,80,12.0,40,0,2,0.5,0.0
21,21,15,47,32,32,1,4,10,1,116,80,12.025,40,0,2,0.5,0.0
17,27,38,17,31,1,1,3,10,1,48,80,12.575,16,0,2,0.2,0.0
42,24,35,38,25,23,1,3,18,24,14,80,13.0375,3,0,2,0.0375,0.0
41,25,17,23,36,9,1,2,18,83,52,80,11.5125,18,0,2,0.225,0.0
41,15,34,22,29,1,1,3,18,52,20,111,12.63063063063063,80,0,2,0.7207207207207207,0.0
21,19,48,38,33,28,1,5,12,20,121,80,12.0125,20,0,2,0.25,0.0
37,18,34,34,28,9,1,4,18,40,212,118,11.90677966101695,0,34,2,0.0,0.288135593220339
39,22,33,37,24,28,1,6,12,15,151,102,10.77450980392157,21,4,2,0.20588235294117646,0.0392156862745098
36,38,30,20,24,23,1,3,18,72,57,80,11.0,40,0,2,0.5,0.0
19,18,40,46,26,9,1,2,18,23,158,80,11.5,40,0,2,0.5,0.0
42,38,19,22,25,45,1,4,16,80,230,80,12.0,40,0,2,0.5,0.0
34,41,18,33,25,16,1,0,21,29,39,333,13.36036036036036,161,0,2,0.48348348348348347,0.0
44,21,40,25,37,22,1,8,2,3,143,94,11.75531914893617,16,0,2,0.1702127659574468,0.0
19,23,48,43,35,40,1,4,18,39,164,90,12.244444444444444,50,3,2,0.5555555555555556,0.03333333333333333
44,42,39,40,30,22,1,3,10,51,147,80,13.0,0,0,2,0.0,0.0
20,19,43,22,25,35,1,3,16,28,94,80,11.525,19,0,2,0.2375,0.0
25,22,42,34,33,33,1,0,21,16,235,152,12.447368421052632,20,23,2,0.13157894736842105,0.1513157894736842
39,40,14,24,39,9,1,3,18,40,78,107,11.467289719626168,40,0,2,0.37383177570093457,0.0
47,39,30,45,36,42,1,9,14,46,185,80,13.0,0,0,2,0.0,0.0
39,27,23,38,22,21,1,4,18,52,122,80,13.5375,20,0,2,0.25,0.0
37,25,40,24,37,21,1,2,18,21,179,111,11.495495495495495,40,0,2,0.36036036036036034,0.0
21,21,10,22,25,35,1,2,16,28,234,104,12.538461538461538,16,1,2,0.15384615384615385,0.009615384615384616
24,22,36,25,34,22,1,4,10,74,80,80,13.0,0,0,2,0.0,0.0
39,34,15,36,26,22,1,4,10,30,126,80,11.5375,17,0,2,0.2125,0.0
46,40,41,34,25,43,1,3,18,14,87,80,11.525,21,0,2,0.2625,0.0
24,42,39,34,33,28,1,6,12,49,123,168,13.244047619047619,78,35,2,0.4642857142857143,0.20833333333333334
12,23,38,21,24,26,1,4,10,74,80,120,12.7,0,0,2,0.0,0.0
49,38,21,37,31,35,1,3,16,58,124,80,13.0,0,0,2,0.0,0.0
23,43,44,19,23,21,1,3,18,86,43,156,12.044871794871796,34,23,2,0.21794871794871795,0.14743589743589744
45,30,37,42,29,45,1,4,16,80,230,80,12.0,40,0,2,0.5,0.0
49,43,18,22,27,20,1,5,7,3,32,80,11.0,40,0,2,0.5,0.0
42,30,20,47,25,31,1,9,11,71,146,117,13.076923076923077,0,0,2,0.0,0.0
13,17,17,17,32,22,1,3,10,1,48,80,12.5875,16,0,2,0.2,0.0
40,36,17,36,31,31,1,8,11,5,75,133,11.864661654135338,24,0,2,0.18045112781954886,0.0
16,40,14,16,26,45,1,3,16,80,74,80,12.0,40,0,2,0.5,0.0
46,41,16,19,27,23,1,3,18,72,57,114,11.236842105263158,40,0,2,0.3508771929824561,0.0
39,20,42,46,26,42,1,8,14,70,170,80,12.5375,17,0,2,0.2125,0.0
13,38,25,34,26,42,1,9,14,33,88,80,12.5,40,0,2,0.5,0.0
21,39,21,14,34,40,1,4,18,64,113,113,12.017699115044248,40,0,2,0.35398230088495575,0.0
14,24,39,19,35,42,1,3,18,72,57,80,11.0,40,0,2,0.5,0.0
43,31,21,13,23,32,1,3,10,1,48,80,12.6,15,0,2,0.1875,0.0
16,24,24,19,27,22,1,2,10,51,222,80,11.5,40,0,2,0.5,0.0
37,10,43,40,39,25,1,0,20,76,133,80,13.075,40,0,2,0.5,0.0
39,16,36,44,37,9,1,2,18,23,158,80,11.5125,40,0,2,0.5,0.0
30,30,40,46,35,22,1,2,10,44,0,115,12.356521739130434,42,0,2,0.3652173913043478,0.0
